,Sr.No,PIC,Name of Dam,Operated & Maintained by,Latitude,Longitude,Year of Completion,River Basin,River,Neareast City,Seismic Zone,Dam Type,Height above Lowest Foundation Level,Dam Length,Volume Content of Dam,Gross Storage Capacity,Reservoir Area,Effective Storage Capacity,Purpose,Designed Spillway Capacity
3666,1254,MH09MH1267,DATTAPUR,Maharashtra Water Resources Department,"20° 24 ' 29""","78° 19 ' 16""",1991,Godavari,Local Nalla,Kalamb,II,Earthfill_Embankment,15.18,404,2145000,1690000,39800,1600000,I,154
3667,1255,MH09LH1268,BHURIKAVATHE,Maharashtra Water Resources Department,"17° 39 ' 7""","76° 24 ' 24""",1991,Krishna,Local Nalla,Akkalkot,II,Earthfill_Embankment,14.8,915,179000,1982000,5800000,1784000,I,161.62
3668,1256,MH09LH1269,GAULANE,Maharashtra Water Resources Department,"19° 54 ' 50""","73° 43 ' 9""",1991,Godavari,Local Nalla,Nashik,III,Earthfill_Embankment,14.76,601,526810,1043000,250000,930000,I,200.3
3669,1257,MH09MH1270,SAWANGIMALI -1,Maharashtra Water Resources Department,"20° 10 ' 33""","76° 26 ' 11""",1991,Godavari,Local Nalla,Sindkhed Raja,II,Earthfill_Embankment,18.65,403,173000,1730000,313000,1623000,I,214
3670,1258,MH09MH1271,JAHUR,Maharashtra Water Resources Department,"18° 36 ' 2""","77° 26 ' 38""",1991,Godavari,Local Nalla,Mukhed,II,Earthfill_Embankment,15.02,939,152000,1470000,1156000,1332000,I,231
3671,1259,MH09MH1272,ADARE,Maharashtra Water Resources Department,"17° 27 ' 39""","73° 34 ' 12""",1991,West Flowing Rivers from Tapi to Tadri,Local Nala,Chiplun,IV,Earthfill_Embankment,29.8,445,547000,3424000,250000,3289000,I,242.81
3672,1260,MH09LH1273,KUNJUR-II,Maharashtra Water Resources Department,"20° 42 ' 15""","74° 59 ' 30""",1991,Tapi,Local Nalla,Chalisgaon,III,Earthfill_Embankment,10.98,1290,108690,1100000,507600,1010000,I,243
3673,1261,MH09MH1274,PENDHARI,Maharashtra Water Resources Department,"21° 21 ' 42""","79° 5 ' 27""",1991,Godavari,Pendhari,Parsivni,II,Earthfill_Embankment,16,470,134000,2920000,554000,2560000,I,244
3674,1262,MH09MH1275,KHAIRE,Maharashtra Water Resources Department,"18° 2 ' 44""","73° 20 ' 28""",1991,West Flowing Rivers from Tapi to Tadri,Local Nala,Mahad,IV,Earthfill_Embankment,28.09,253,215000,2154000,275000,2021000,I/S,339
3675,1263,MH09MH1276,KUTTARWADI,Maharashtra Water Resources Department,"19° 13 ' 54""","74° 13 ' 47""",1991,Godavari,Kinhariver,Pathardi,III,Earthfill_Embankment,15.52,1600,108020,1814000,360000,1470000,I,550
3676,1264,MH09MH1277,FONDSHIRAS,Maharashtra Water Resources Department,"17° 55 ' 32""","74° 47 ' 4""",1991,Krishna,Local Nalla,Malshiras,III,Earthfill_Embankment,16.03,430,13000,2920000,1050000,2390000,I,725
3677,1265,MH09MH1278,VIDRUPA,Maharashtra Water Resources Department,"19° 53 ' 14""","76° 18 ' 58""",1991,Godavari,Vidrupa,Shindkhed Raja,II,Earthfill_Embankment,16.36,690,249620,4566000,176000,3411000,I,920
3678,1266,MH09LH1279,TERVANMEDHE,Maharashtra Water Resources Department,,,,Area of Inland Drainage in Rajasthan,Mod Nadi,Sambalpur,,Earthfill_Embankment,,,,,,,,
3679,1267,MH09MH1280,LAMKANI,Maharashtra Water Resources Department,"21° 5 ' 30""","74° 32 ' 18""",1991,Tapi,Panzara,Dhule,III,Earthfill_Embankment,19,1086,223000,2850000,106000,2230000,I,1820
3680,1268,MH09MH1281,TITHAWALI,Maharashtra Water Resources Department,"16° 34 ' 14""","73° 41 ' 4""",1992,West Flowing Rivers from Tapi to Tadri,Local Nala,Vaibhavwadi,III,Earthfill_Embankment,18.1,225,107000,1733000,1210000,1723000,I,34.17
3681,1269,MH09MH1282,NAGYASAKYA,Maharashtra Water Resources Department,"20° 6 ' 41""","75° 2 ' 5""",1992,Tapi,Panzan,Malegaon,III,Earthfill_Embankment,23.09,1440,292000,15560000,2993000,11240000,I,51.55
3682,1270,MH09MH1283,PEDGAON,Maharashtra Water Resources Department,"19° 49 ' 2""","77° 14 ' 21""",1992,Godavari,Local Nalla,Hingoli,II,Earthfill_Embankment,15.58,202,127000,972200,239800,912000,I,90.67
3683,1271,MH09MH1284,KHIRAD,Maharashtra Water Resources Department,"20° 25 ' 3""","74° 4 ' 56""",1992,Tapi,Local Nalla,Kalwan,III,Earthfill_Embankment,19.99,230,132410,1400000,235800,1330000,I,123
3684,1272,MH09MH1285,NANDURDE,Maharashtra Water Resources Department,"21° 30 ' 4""","74° 50 ' 40""",1992,Tapi,Local Nalla,Shirpur,III,Earthfill_Embankment,21.06,545,360000,3880000,13000,3600000,I,130
3685,1273,MH09MH1286,SANAMTEMB,Maharashtra Water Resources Department,"15° 59 ' 2""","73° 53 ' 43""",1992,West Flowing Rivers from Tapi to Tadri,Local Nala,Sawantwadi,III,Earthfill_Embankment,21.3,670,67000,2450000,1700000,2390000,I,181.71
3686,1274,MH09MH1287,CHINCHWAD,Maharashtra Water Resources Department,"20° 5 ' 10""","73° 28 ' 30""",1992,Godavari,Local Nalla,Peint,III,Earthfill_Embankment,21.3,374,154000,1651000,38000,1630000,I,183.29
3687,1275,MH09LH1288,METHI,Maharashtra Water Resources Department,"21° 12 ' 57""","74° 37 ' 43""",1992,Tapi,Local Nalla,Sindkheda,III,Earthfill_Embankment,10,2200,82000,980000,210000,840000,I,192
3688,1276,MH09MH1289,VIHIRGAON,Maharashtra Water Resources Department,"20° 14 ' 5""","78° 38 ' 3""",1992,Godavari,Local Nalla,Ralegaon,II,Earthfill_Embankment,15.54,930,317000,3179000,989000,3040000,I,226
3689,1277,MH09LH1290,PIMPALGAON,Maharashtra Water Resources Department,"20° 40 ' 38""","74° 44 ' 12""",1992,Tapi,Local Nalla,Jamner,II,Earthfill_Embankment,10.06,540,58390,9000000,450000,820000,I,238
3690,1278,MH09LH1291,HATOLA,Maharashtra Water Resources Department,"20° 30 ' 4""","77° 11 ' 52""",1992,Tapi,Local Nalla,Barshi Takali,II,Earthfill_Embankment,13.45,555,164000,2530000,470000,2230000,I,288
3691,1279,MH09MH1292,KHOPAD,Maharashtra Water Resources Department,"17° 32 ' 32""","73° 27 ' 37""",1992,West Flowing Rivers from Tapi to Tadri,Local Nala,Chiplun,IV,Earthfill_Embankment,20.3,210,216000,1863000,263000,1541000,I,356
3692,1280,MH09LH1293,PIMPALKOTA BHOLANE,Maharashtra Water Resources Department,"20° 55 ' 10""","74° 59 ' 0""",1992,Tapi,Local Nalla,Parola,III,Earthfill_Embankment,11.93,1350,138110,2410000,980000,2092000,I,435
3693,1281,MH09LH1294,DAFALAPUR,Maharashtra Water Resources Department,"16° 59 ' 21""","75° 4 ' 6""",1992,Krishna,Local Nalla,Jath,III,Earthfill_Embankment,12.8,930,72000,1390000,520000,1180000,I,436
3694,1282,MH09MH1295,MORZALWADI,Maharashtra Water Resources Department,"18° 56 ' 21""","75° 26 ' 10""",1992,Godavari,Local Nalla,Shirur.,III,Earthfill_Embankment,15.4,470,106000,1470000,380000,1310000,I,530
3695,1283,MH09MH1296,UTHALA,Maharashtra Water Resources Department,"19° 6 ' 0""","75° 52 ' 0""",1992,Godavari,Uthala,Shirur.,III,Earthfill_Embankment,16.28,1270,435000,8170000,1910000,7521000,I,1042
3696,1284,MH09MH1297,SAKOL,Maharashtra Water Resources Department,"18° 18 ' 20""","76° 53 ' 55""",1992,Godavari,Sakol,Udgir,II,Earthfill_Embankment,17.65,1425,371000,12686000,4257000,10946000,I,1154
3697,1285,MH09MH1298,TONDAPUR,Maharashtra Water Resources Department,"21° 28 ' 33""","75° 13 ' 29""",1992,Tapi,Khadki Nalla,Jamner,II,Earthfill_Embankment,21.25,1980,484000,6290000,1490000,4630000,I,1332
3698,1286,MH09MH1299,VYGHRA NALLA,Maharashtra Water Resources Department,"20° 47 ' 51""","76° 3 ' 11""",1992,Tapi,Local Nalla,Motala,II,Earthfill_Embankment,15.14,1718,84000,8400000,392000,7140000,I,1063
3699,1287,MH09MH1300,DABACHIWADI,Maharashtra Water Resources Department,"16° 6 ' 31""","73° 41 ' 14""",1993,West Flowing Rivers from Tapi to Tadri,Local Nala,Kudal,III,Earthfill_Embankment,15.79,1135,288000,2441000,1640000,2421000,I,38.07
3700,1288,MH09MH1301,DHAUR,Maharashtra Water Resources Department,"20° 11 ' 54""","73° 39 ' 44""",1993,Godavari,Local Nalla,Dindori,III,Earthfill_Embankment,16.07,772,553215,1720000,361000,1692000,I,54.38
3701,1289,MH09MH1302,DARYACHEVADGAON,Maharashtra Water Resources Department,"16° 35 ' 47""","74° 13 ' 40""",1993,Krishna,Local Nalla,Karveer,III,Earthfill_Embankment,23.59,245,126600,851000,111500,740000,I,59.22
3702,1290,MH09MH1303,MARKAND PIMPRI,Maharashtra Water Resources Department,"20° 24 ' 0""","72° 55 ' 0""",1993,Tapi,Markhand,Kalwan,III,Earthfill_Embankment,16.91,570,176140,1150000,228900,1110000,I,78
3703,1291,MH09MH1304,UMRANI,Maharashtra Water Resources Department,"21° 50 ' 56""","74° 12 ' 50""",1993,Narmada,Udai,Jat,III,Earthfill_Embankment,16.19,480,88000,1138000,260000,971000,I,102
3704,1292,MH09MH1305,PADALPUR,Maharashtra Water Resources Department,"21° 39 ' 26""","74° 14 ' 11""",1993,Tapi,Local Nalla,Taloda,III,Earthfill_Embankment,20.75,945,166000,1700000,29230,1670000,I,187
3705,1293,MH09MH1306,GOPALWADI,Maharashtra Water Resources Department,"16° 6 ' 32""","73° 41 ' 14""",1993,West Flowing Rivers from Tapi to Tadri,Local Nala,Osmanabad,IV,Earthfill_Embankment,22.66,160,162000,1410000,240000,1250000,I,225
3706,1294,MH09MH1307,SAWANGIMALI -2,Maharashtra Water Resources Department,"20° 10 ' 21""","76° 26 ' 24""",1993,Godavari,Local Nalla,Mehkar,II,Earthfill_Embankment,20.67,420,230000,1560000,280000,1460000,I,334
3707,1295,MH09LH1308,BANDGARWADI,Maharashtra Water Resources Department,"17° 19 ' 49""","74° 58 ' 49""",1995,Krishna,Local Nalla,K.Mahankal,III,Earthfill_Embankment,13.71,1105,86000,2060000,752000,1860000,I,141
3708,1296,MH09LH1309,KOTIJ,Maharashtra Water Resources Department,"17° 21 ' 48""","74° 25 ' 33""",1993,Krishna,Local Nalla,Khanapur.,III,Earthfill_Embankment,14.6,796,121000,1460000,548000,1290000,I,532.24
3709,1297,MH09MH1310,SINGANDOH,Maharashtra Water Resources Department,"20° 16 ' 55""","77° 26 ' 15""",1993,Godavari,Local Nalla,Manora,II,Earthfill_Embankment,17,562,117000,3110000,119000,2714000,I,686
3710,1298,MH09MH1311,BORGAON,Maharashtra Water Resources Department,"20° 27 ' 24""","78° 11 ' 21""",1993,Godavari,Local Nalla,Kalamb,II,Earthfill_Embankment,20,830,1404000,14040000,288000,12224000,I,686
3711,1299,MH09MH1312,KHUMARI,Maharashtra Water Resources Department,"21° 19 ' 6""","78° 51 ' 15""",1993,Godavari,Local Nalla,Kalmeshwar.,II,Earthfill_Embankment,15.6,955.7,0,5106000,1500000,4620000,I,778
3712,1300,MH09MH1313,PAKADIGUDDAM,Maharashtra Water Resources Department,"19° 41 ' 31""","79° 2 ' 17""",1993,Godavari,Deogad,Rajura,III,Earthfill_Embankment,19,1814,1067000,13307000,2579000,11797000,I,803
3713,1301,MH09MH1314,BELPARA,Maharashtra Water Resources Department,"19° 0 ' 37""","75° 19 ' 30""",1993,Godavari,Local Nalla,Pathardi,III,Earthfill_Embankment,17.4,1034,454000,6990000,2340000,5820000,I,926
3714,1302,MH09MH1315,TORNA,Maharashtra Water Resources Department,"20° 27 ' 19""","76° 42 ' 43""",1993,Tapi,Torna,Khamgaon,II,Earthfill_Embankment,23,976,541000,8480000,2292350,7900000,I,961
3715,1303,MH09MH1316,NAGTHANA,Maharashtra Water Resources Department,"18° 37 ' 50""","76° 49 ' 30""",1993,Godavari,Local Nalla,Ahmedpur,II,Earthfill_Embankment,19.32,1004,158690,6476000,1670000,6176000,I,961.34
3716,1304,MH09MH1317,DEVARGAN,Maharashtra Water Resources Department,"18° 19 ' 59""","76° 59 ' 44""",1993,Godavari,Devan,Udgir,II,Earthfill_Embankment,15.58,1535,276000,12411000,4010000,10681000,I,1136
3717,1305,MH09MH1318,SANGAVISHIRVAL,Maharashtra Water Resources Department,"18° 7 ' 53""","73° 58 ' 35""",1993,Krishna,Local Nalla,Khandala.,III,Earthfill_Embankment,18,850,1340000,1335000,320000,900000,I,137
3718,1306,MH09HH1319,UPPER WARDHA,Maharashtra Water Resources Department,"21° 16 ' 29""","78° 3 ' 34""",1993,Godavari,Wardha.,Morshi,II,Other,39.9,5920,6500000,678270000,93122000,564050000,I/S/C,13317
3719,1307,MH09MH1320,TULSHI,Maharashtra Water Resources Department,"17° 58 ' 0""","73° 13 ' 22""",1993,West Flowing Rivers from Tapi to Tadri,Local Nala,Mandangad,IV,Earthfill_Embankment,20.19,217,157440,1967000,243000,1546000,I,48.04
3720,1308,MH09MH1321,KONDE,Maharashtra Water Resources Department,"16° 35 ' 47""","73° 35 ' 4""",1994,West Flowing Rivers from Tapi to Tadri,Local Nala,Rajapur,III,Earthfill_Embankment,28.42,135,134000,1741000,253000,1713000,I,27.3
3721,1309,MH09MH1322,SHENWAD,Maharashtra Water Resources Department,"19° 41 ' 50""","73° 38 ' 29""",1994,Godavari,Local Nalla,Igatpuri,III,Earthfill_Embankment,17.9,920,449880,2906000,517400,2885000,I,68.19
3722,1310,MH09MH1323,MANDVE (SATARA),Maharashtra Water Resources Department,"17° 33 ' 58""","73° 59 ' 16""",1994,Krishna,Vasna,Satara,IV,Earthfill_Embankment,19.5,1080,44000,1150000,504000,1050000,I,229
3723,1311,MH09MH1324,PIMPURNA,Maharashtra Water Resources Department,"20° 0 ' 50""","73° 10 ' 22""",1994,West Flowing Rivers from Tapi to Tadri,Lendi,Mokhada,III,Earthfill_Embankment,16.94,172,124820,2409000,402000,2330000,I,232.36
3724,1312,MH09LH1325,BOLA,Maharashtra Water Resources Department,"20° 25 ' 53""","75° 0 ' 8""",1994,Tapi,Local Nalla,Parola,III,Earthfill_Embankment,10.79,320,56350,1309000,534000,1163000,I,255
3725,1313,MH09MH1326,HARALKHED,Maharashtra Water Resources Department,"20° 36 ' 58""","76° 12 ' 26""",1994,Tapi,Local Nalla,Chikhali,II,Earthfill_Embankment,20.01,250,161000,2260000,326000,2010000,I,272
3726,1314,MH09LH1327,KOYALI,Maharashtra Water Resources Department,"20° 9 ' 3""","76° 50 ' 30""",1994,Godavari,Local Nalla,Risod,II,Earthfill_Embankment,10.61,871,78000,925000,500000,891000,I,314
3727,1315,MH09MH1328,GANGAPURI,Maharashtra Water Resources Department,"21° 21 ' 0""","75° 6 ' 0""",1994,Tapi,Local Nalla,Raver,III,Earthfill_Embankment,18.13,282,75000,2392000,20950,2299000,I,380
3728,1316,MH09MH1329,DEUR,Maharashtra Water Resources Department,"17° 52 ' 4""","74° 8 ' 2""",1994,Krishna,Local Nalla,Koregaon,III,Earthfill_Embankment,18.6,966,194000,1844000,429000,1603000,I,475.6
3729,1317,MH09LH1331,UGHADEWADI,Maharashtra Water Resources Department,"17° 48 ' 5""","75° 4 ' 32""",1994,Krishna,Local Nalla,Malshiras,III,Earthfill_Embankment,12.5,594,1930,1380000,520000,1080000,I,557
3730,1318,MH09LH1332,SAWARKHEDA,Maharashtra Water Resources Department,"20° 44 ' 55""","75° 4 ' 9""",1994,Tapi,Local,Parola,III,Earthfill_Embankment,12.56,1550,166740,2156000,1420000,1903000,I,651
3731,1319,MH09MH1333,SANGAVI,Maharashtra Water Resources Department,"19° 39 ' 21""","73° 53 ' 5""",1994,Godavari,Adhala,Akole,III,Earthfill_Embankment,18.58,157,1023980,2017000,27360,1582000,I,660
3732,1320,MH09LH1334,SAIKINALLA,Maharashtra Water Resources Department,"20° 54 ' 37""","79° 11 ' 21""",1994,Godavari,Saiki,Umrer,II,Earthfill_Embankment,14.65,1630,545000,8980000,2629000,6980000,I,728
3733,1321,MH09MH1335,DHAKANI,Maharashtra Water Resources Department,"17° 35 ' 15""","74° 40 ' 47""",1994,Krishna,Local Nalla,Man,III,Earthfill_Embankment,18.5,820,164340,3050000,668000,2660000,I,802
3734,1322,MH09MH1336,VADRI,Maharashtra Water Resources Department,"21° 16 ' 51""","75° 41 ' 3""",1994,Tapi,Sur,Yawal,III,Earthfill_Embankment,26.64,361,964390,2796000,270000,2266000,I,874.46
3735,1323,MH09MH1337,BOKANI,Maharashtra Water Resources Department,"18° 27 ' 8""","77° 0 ' 42""",1994,Godavari,Local Nalla,Udgir,III,Earthfill_Embankment,17.03,1440,292000,9459000,3170000,8585000,I,1258
3736,1324,MH09LH1338,BENITURA,Maharashtra Water Resources Department,"17° 47 ' 24""","76° 27 ' 31""",1994,Krishna,Benitura,Omerga,II,Earthfill_Embankment,13.38,1797,277050,12840000,6470000,11500000,I,1614
3737,1325,MH09MH1339,SAKAT,Maharashtra Water Resources Department,"18° 22 ' 11""","75° 30 ' 32""",1994,Krishna,Dudhana,Paranda,III,Earthfill_Embankment,19.8,1805,621590,14490000,4340000,13470000,I,1686
3738,1326,MH09MH1340,JAWALGAON,Maharashtra Water Resources Department,"18° 0 ' 57""","75° 54 ' 9""",2005,Krishna,Nagzari River,Barshi,III,Other,21.71,1229,475000,29600000,8580000,24010000,I,1837.76
3739,1327,MH09MH1341,TEMBHAPURI,Maharashtra Water Resources Department,"19° 44 ' 27""","75° 10 ' 55""",1994,Godavari,Nagzari,Gangapur.,II,Earthfill_Embankment,17.77,5300,809000,21270000,8495000,19610000,I,2038
3740,1328,MH09LH1342,HIWARA,Maharashtra Water Resources Department,"20° 36 ' 21""","75° 40 ' 34""",1994,Tapi,Hiwara,Pachora,II,Earthfill_Embankment,14,3860,96000,12777000,5680000,9601000,I,2591
3741,1329,MH09MH1343,ARUNAWATI,Maharashtra Water Resources Department,"20° 7 ' 10""","77° 47 ' 48""",1994,Godavari,Arunawati,Digras,II,Other,29.58,5170,4412000,198395000,39290000,169675000,I,8525
3742,1330,MH09MH1344,GADHAWALI,Maharashtra Water Resources Department,"21° 39 ' 34""","74° 14 ' 53""",1994,Tapi,Local Nalla,Shahada,III,Earthfill_Embankment,16.52,829,88000,940000,20000,880000,I,320
3743,1331,MH09MH1345,AMDARI,Maharashtra Water Resources Department,"20° 7 ' 8""","76° 29 ' 3""",1994,Godavari,Local Nalla,Manora,II,Earthfill_Embankment,19.61,345,210000,2070000,41880,1973000,I,
3744,1332,MH09LH1346,GARADGAON,Maharashtra Water Resources Department,"20° 29 ' 36""","76° 30 ' 23""",1994,Tapi,Bordi,Khamgaon,II,Earthfill_Embankment,14.8,1265,2670000,2690000,95000,2270000,I,947.47
3745,1333,MH09MH1347,BORKHIND,Maharashtra Water Resources Department,"19° 47 ' 37""","73° 51 ' 52""",1995,Godavari,Local Nalla,Sinnar.,III,Earthfill_Embankment,19.59,660,160000,1576000,426200,1425000,I,8
3746,1334,MH09MH1348,KARANDEWADI,Maharashtra Water Resources Department,"17° 21 ' 56""","74° 16 ' 56""",1995,Krishna,Local Nalla,Khanapur.,III,Earthfill_Embankment,18.45,124,115600,1374000,126900,1283000,I,39.45
3747,1335,MH09MH1349,TULYACHAPADA,Maharashtra Water Resources Department,"19° 38 ' 1""","73° 25 ' 24""",1995,West Flowing Rivers from Tapi to Tadri,Local Nala,Mokhada,III,Earthfill_Embankment,21.59,545,173230,1985000,272000,1930000,I,45
3748,1336,MH09LH1350,SAWANGA,Maharashtra Water Resources Department,"20° 12 ' 11""","77° 10 ' 23""",1995,Godavari,Local Nalla,Washim,II,Earthfill_Embankment,12.9,380,230000,1130000,34000,1102000,I,86
3749,1337,MH09MH1351,MANDWA,Maharashtra Water Resources Department,"20° 2 ' 39""","77° 6 ' 1""",1995,Godavari,Local Nalla,Risod,II,Earthfill_Embankment,15.16,448,76000,1484000,368700,1370000,I,120
3750,1338,MH09MH1352,KOLAMBI,Maharashtra Water Resources Department,"19° 34 ' 0""","76° 42 ' 0""",1995,Godavari,Arunawati,Mangrulpir,II,Earthfill_Embankment,19.6,309,166000,1589000,250000,1500000,I,148
3751,1339,MH09LH1353,BORGAON,Maharashtra Water Resources Department,"20° 15 ' 7""","77° 4 ' 9""",1995,Tapi,Local Nalla,Malegaon,II,Earthfill_Embankment,13.98,1095,168830,1293000,42000,1174000,I,150
3752,1340,MH09MH1354,GAOSUD,Maharashtra Water Resources Department,"18° 12 ' 6""","76° 1 ' 9""",1995,Krishna,Local Nalla,Osmanabad,III,Earthfill_Embankment,16.75,773,145910,1701000,429800,1510000,I,198.78
3753,1341,MH09LH1355,MALEGAON,Maharashtra Water Resources Department,"20° 13 ' 24""","76° 59 ' 36""",1995,Tapi,Local Nalla,Washim,II,Earthfill_Embankment,11.5,1070,146000,2043000,66000,1850000,I,212
3754,1342,MH09LH1356,PACHAMBA,Maharashtra Water Resources Department,"19° 58 ' 57""","76° 43 ' 28""",1995,Godavari,Local Nalla,Risod,II,Earthfill_Embankment,10.1,1080,212000,2242000,71260,2073000,I,230
3755,1343,MH09MH1357,GARTEK,Maharashtra Water Resources Department,"20° 7 ' 55""","77° 32 ' 36""",1995,Godavari,Local Nalla,Manora,II,Earthfill_Embankment,18.08,354,202840,1993000,49000,1874000,I,235
3756,1344,MH09LH1358,ROTHA- I,Maharashtra Water Resources Department,"20° 45 ' 28""","78° 33 ' 3""",1995,Godavari,Local Nalla,Wardha,II,Earthfill_Embankment,12.72,1008,117040,2050000,752000,1910000,I,251
3757,1345,MH09LH1359,ROTHA -II,Maharashtra Water Resources Department,"20° 45 ' 40""","79° 32 ' 35""",1995,Godavari,Local Nalla,Wardha,II,Earthfill_Embankment,12.3,772,122600,1076000,381920,1011000,I,250.71
3758,1346,MH09HH1360,KONDIVALI,Maharashtra Water Resources Department,"17° 40 ' 54""","73° 23 ' 27""",1995,West Flowing Rivers from Tapi to Tadri,Local Nala,Khed,IV,Earthfill_Embankment,31.14,511,776000,4685000,395500,4279000,I,253.75
3759,1347,MH09MH1361,TANGAR,Maharashtra Water Resources Department,"17° 52 ' 32""","73° 16 ' 38""",1995,West Flowing Rivers from Tapi to Tadri,Local Nala,Dapoli,IV,Earthfill_Embankment,23.01,215,490000,3375000,316620,3216000,I,256
3760,1348,MH09MH1362,PATUR,Maharashtra Water Resources Department,"20° 23 ' 41""","76° 55 ' 28""",1995,Tapi,Bordi,Patur,II,Earthfill_Embankment,21.22,311,213000,2080000,313000,1853000,I,262
3761,1349,MH09MH1363,CHARKALI,Maharashtra Water Resources Department,"18° 20 ' 27""","75° 54 ' 13""",1995,Krishna,Local Nalla,Kalamb,III,Earthfill_Embankment,17.37,472,0,3434000,440000,3157000,I,291
3762,1350,MH09MH1364,GUNWATI,Maharashtra Water Resources Department,"18° 37 ' 15""","76° 20 ' 15""",1995,Godavari,Gunora,Dharur,III,Earthfill_Embankment,16.49,1467,481000,6118000,1662000,5040000,I,920
3763,1351,MH09LH1365,BILUR (KESARAL),Maharashtra Water Resources Department,"16° 55 ' 37""","75° 10 ' 8""",1995,Krishna,Local Nalla,Jath,III,Earthfill_Embankment,14.31,420,121000,1670000,178000,1440000,I,390
3764,1352,MH09MH1366,JANGAMHATTI,Maharashtra Water Resources Department,"15° 51 ' 30""","74° 17 ' 36""",1995,Krishna,Hanhol Nalla,Chandgad,III,Earthfill_Embankment,28.9,960,1253000,34210000,4763600,33210000,I/H,467
3765,1353,MH09MH1367,SHIVANKHURD,Maharashtra Water Resources Department,"20° 38 ' 24""","77° 26 ' 13""",1995,Tapi,Local Nalla,Murtizapur,II,Earthfill_Embankment,15.17,2100,402200,4663000,1942000,4180000,I,474
3766,1354,MH09MH1368,KHOKSA,Maharashtra Water Resources Department,"21° 33 ' 45""","74° 38 ' 25""",1995,Tapi,Nawapur,Navapur,III,Earthfill_Embankment,24.42,495,146000,1523000,276800,1460000,I,476
